kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms
retry_status,e2e931574819d070b7fe8a257b98036754cc81cd9610e9a71a57b6a76aa2fcd0,,1789785403814633000,1789785403932412000,1789785403948365000,false,65536,5,117.779,0.002,0.013,0.002,15.936,15.929209,0.003166,0.0,133.732
new_payment,bc85026f149d1d974157006adb423d6f11403edbf9d5352f3f3e1deb609aa475,,1789785403919307000,1789785403948402000,1789785403970293000,false,98304,7,29.095,0.009,0.026,0.005,21.851,21.829292,0.007958,0.0,50.986
new_payment,4c00e8bc4b95a0bd72a520b0a159a4ab46e10ca761b54bae72326b3f962bf572,,1789785403919313000,1789785403970444000,1789785403999299000,false,98304,7,51.131,0.005,0.017,0.004,28.829,28.819916,0.005625,0.0,79.986
new_payment,e74bf966ccae0c915743e6b5608258c9785087aecd90221980ac3e975eac9245,,1789785403919360000,1789785403999309000,1789785404036288000,false,81920,6,79.949,0.016,0.025,0.003,36.935,36.927666,0.004209,0.0,116.928
new_payment,cb36ca0a235d4e22e107747e6f631950dd2c64ff6b7b10e0a0a6899d2b5fb60a,,1789785403919411000,1789785404036308000,1789785404057317000,false,81920,6,116.897,0.005,0.017,0.005,20.982,20.97225,0.005416,0.0,137.906
new_payment,0ae5546a95a146b9d6f5b0d50a9372a2f3b74687b3aadb14b38531da0afc6878,,1789785403919414000,1789785404057331000,1789785404071324000,false,98304,7,137.917,0.004,0.014,0.003,13.972,13.9515,0.0165,0.0,151.91
new_payment,93bcbe76a73a44d25d8d96d964ad05c2b9b7600772dd1f724bba88644d5c1b54,,1789785403919470000,1789785404071336000,1789785404092288000,false,81920,6,151.866,0.003,0.015,0.007,20.927,20.919792,0.005125,0.0,172.818
new_payment,5605c9ebbc49ff2721b8d370d7fc701b7e9ba7a78e40ecc91232ddfe0d84d626,,1789785403919491000,1789785404092301000,1789785404111310000,false,98304,7,172.81,0.004,0.015,0.004,18.986,18.977042,0.006,0.0,191.819
new_payment,3f1ed156e16e5c0e41057dd0024ca0220c205a5c0fb819687bd9069f1519a810,,1789785403919542000,1789785404111322000,1789785404133367000,false,114688,8,191.78,0.003,0.012,0.005,22.025,22.009667,0.005209,0.0,213.825
new_payment,d1f9e3e9a577fe8b7e2b6a5ad821f9db313ac2c6c2324370e8e09305e3873790,,1789785403919616000,1789785404133378000,1789785404152270000,false,98304,7,213.762,0.002,0.01,0.004,18.876,18.862167,0.007167,0.0,232.654
new_payment,dc2fd622d0dcd8df7010c985b284d29c2df2e871a25df9e5cdf3b1cf820b2860,,1789785403919680000,1789785404152279000,1789785404168273000,false,81920,6,232.599,0.002,0.012,0.005,15.975,15.965583,0.004583,0.0,248.593
new_payment,52ca6f6a1e12aadf212a57c91c21408a46f9d4a4ac9dd775ffd5ac4f5beb4956,,1789785403919700000,1789785404168284000,1789785404190317000,false,114688,8,248.584,0.003,0.013,0.004,22.013,22.002292,0.005834,0.0,270.617
retry_status,ecd64b9520212d784b104e0384f58e89dd94c076a6b57425aad078d327e49f03,,1789785404004508000,1789785404190332000,1789785404206308000,false,65536,5,185.824,0.003,0.012,0.003,15.958,15.950333,0.004417,0.0,201.8
retry_status,e59fa9ca2fe02e5fee3af5f8c58e3b4c89a485b914602122e66a7a36551ad3fe,,1789785404012648000,1789785404206325000,1789785404220353000,false,65536,5,193.677,0.004,0.009,0.003,14.012,14.004333,0.003292,0.0,207.705
