kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms,index,save_start_ns,save_end_ns,picked_ns,save_ms,pre_store_ms,queue_ms,queue_during_groups_ms,queue_during_scans_ms,queue_other_ms
new_payment,c4a5ac5feb558c77480e45d8370d249b07e993759fb36d63031e96d9d7c822e4,,1789785401959605000,1789785402502375000,1789785402516287000,false,114688,8,542.77,0.002,0.012,0.003,13.895,13.851625,0.00475,0.0,556.682,58,1789785401959361000,1789785402516292000,1789785403454359000,556.931,0.244,938.067,938.008,0.052,0.00699999999996908
new_payment,9b3ee8ddacac5f9bd19d93d4b8d25d281ce1057dfdd6539fd7b4c1a7de992a7e,,1789785401927113000,1789785401958302000,1789785401979309000,false,81920,6,31.189,0.429,0.013,0.003,20.562,20.542959,0.004333,0.0,52.196,59,1789785401926933000,1789785401979314000,1789785402908333000,52.381,0.18,929.019,928.981,0.035,0.0030000000000109106
new_payment,bbe2f5d4880de359cd3fc291a22475d336ac1fbe8a2fcdc7b8c2772c87114d89,,1789785401973286000,1789785402731327000,1789785402761290000,false,81920,6,758.041,0.006,0.28,0.006,29.671,29.661625,0.006333,0.0,788.004,60,1789785401973087000,1789785402761298000,1789785403278382000,788.211,0.199,517.084,517.026,0.052,0.005999999999992726
new_payment,fb6a6c553298be45998d46694c9f251fb35da38e9da03ca7bc594049b907ef2f,,1789785401973263000,1789785402717277000,1789785402731301000,false,98304,7,744.014,0.002,0.013,0.002,14.007,13.999916,0.003625,0.0,758.038,61,1789785401973075000,1789785402731305000,1789785404266390000,758.23,0.188,1535.085,1535.01,0.067,0.00800000000004547
new_payment,b8e806d80f71c3208f7a17d370a249c623b0612ee17bad4c645e9b1f2f5e08e1,,1789785401959114000,1789785402284288000,1789785402300291000,false,81920,6,325.174,0.002,0.011,0.003,15.987,15.98,0.00375,0.0,341.177,62,1789785401958912000,1789785402300295000,1789785403278388000,341.383,0.202,978.093,978.035,0.052,0.005999999999992726
new_payment,887d2da1a6342c57768b679ac0a2af6f9f56a9f5b49a916f9f3589c3e701f87a,,1789785401959810000,1789785402550252000,1789785402558262000,false,98304,7,590.442,0.003,0.01,0.002,7.995,7.987042,0.003917,0.0,598.452,63,1789785401959630000,1789785402558266000,1789785402908324000,598.636,0.18,350.058,350.02,0.035,0.0030000000000109106
new_payment,af0ddbe144c2ac8c30cd9fbb5199def596048adc9f1c55734dfe45a633e56c57,,1789785402741722000,1789785402799338000,1789785402823409000,false,81920,6,57.616,0.003,0.119,0.003,23.946,23.823709,0.111333,0.0,81.687,64,1789785402741541000,1789785402823414000,1789785406490362000,81.873,0.181,3666.948,3633.561,0.116,33.27099999999972
new_payment,b98dab03d6e36ce0e113a25228f31699996305651cc0536492f1833e604a1332,,1789785403425887000,1789785403454329000,1789785403485299000,false,81920,6,28.442,0.002,0.01,0.004,30.954,30.945959,0.004166,0.0,59.412,65,1789785403425704000,1789785403485303000,1789785406490352000,59.599,0.183,3005.049,2971.683,0.099,33.26699999999999
new_payment,0ae5546a95a146b9d6f5b0d50a9372a2f3b74687b3aadb14b38531da0afc6878,,1789785403919414000,1789785404057331000,1789785404071324000,false,98304,7,137.917,0.004,0.014,0.003,13.972,13.9515,0.0165,0.0,151.91,66,1789785403919224000,1789785404071329000,1789785404498637000,152.105,0.19,427.308,394.019,0.035,33.25399999999999
new_payment,4c00e8bc4b95a0bd72a520b0a159a4ab46e10ca761b54bae72326b3f962bf572,,1789785403919313000,1789785403970444000,1789785403999299000,false,98304,7,51.131,0.005,0.017,0.004,28.829,28.819916,0.005625,0.0,79.986,67,1789785403919112000,1789785403999305000,1789785405714318000,80.193,0.201,1715.013,1681.703,0.049,33.260999999999946
new_payment,bc85026f149d1d974157006adb423d6f11403edbf9d5352f3f3e1deb609aa475,,1789785403919307000,1789785403948402000,1789785403970293000,false,98304,7,29.095,0.009,0.026,0.005,21.851,21.829292,0.007958,0.0,50.986,68,1789785403919123000,1789785403970437000,1789785406490347000,51.314,0.184,2519.91,2486.56,0.084,33.265999999999906
new_payment,3f1ed156e16e5c0e41057dd0024ca0220c205a5c0fb819687bd9069f1519a810,,1789785403919542000,1789785404111322000,1789785404133367000,false,114688,8,191.78,0.003,0.012,0.005,22.025,22.009667,0.005209,0.0,213.825,69,1789785403919314000,1789785404133372000,1789785405516405000,214.058,0.228,1383.033,1349.724,0.049,33.25999999999997
new_payment,dc2fd622d0dcd8df7010c985b284d29c2df2e871a25df9e5cdf3b1cf820b2860,,1789785403919680000,1789785404152279000,1789785404168273000,false,81920,6,232.599,0.002,0.012,0.005,15.975,15.965583,0.004583,0.0,248.593,70,1789785403919442000,1789785404168279000,1789785406584371000,248.837,0.238,2416.092,2382.741,0.084,33.26700000000011
new_payment,cb36ca0a235d4e22e107747e6f631950dd2c64ff6b7b10e0a0a6899d2b5fb60a,,1789785403919411000,1789785404036308000,1789785404057317000,false,81920,6,116.897,0.005,0.017,0.005,20.982,20.97225,0.005416,0.0,137.906,71,1789785403919221000,1789785404057324000,1789785406584362000,138.103,0.19,2527.038,2493.687,0.084,33.26700000000011
new_payment,5605c9ebbc49ff2721b8d370d7fc701b7e9ba7a78e40ecc91232ddfe0d84d626,,1789785403919491000,1789785404092301000,1789785404111310000,false,98304,7,172.81,0.004,0.015,0.004,18.986,18.977042,0.006,0.0,191.819,72,1789785403919305000,1789785404111315000,1789785405933499000,192.01,0.186,1822.184,1788.852,0.07,33.26199999999988
